"AREA_CODE","AREA_NAME","COMPONENT","SEX","AGE_GROUP","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047"
E38000240,NHS North Central London ICB - 93C,Population,persons,30,25084.000,26009.363,27414.096,27737.243,27777.511,28129.088,27821.818,28060.753,28052.820,27932.201,28192.238,28816.379,29578.325,29499.042,29299.202,29683.220,30556.417,30440.873,30577.588,30836.318,30833.596,30234.479,29750.599,29692.545,29935.163,29432.228
E38000240,NHS North Central London ICB - 93C,Population,persons,31,24919.000,25859.605,26356.133,27011.250,27139.415,27191.274,27603.484,27372.545,27609.256,27573.435,27451.626,27690.181,28283.337,29017.785,28946.057,28756.997,29130.642,29970.843,29859.450,29995.085,30246.477,30246.203,29672.806,29205.612,29151.318,29384.987
E38000240,NHS North Central London ICB - 93C,Population,persons,32,24984.000,25391.901,25977.248,25798.094,26294.716,26401.886,26518.709,26990.024,26791.137,27003.082,26945.942,26823.340,27043.237,27607.002,28313.156,28247.918,28069.033,28431.708,29239.215,29132.245,29265.949,29509.977,29511.794,28963.570,28513.522,28462.480
E38000240,NHS North Central London ICB - 93C,Population,persons,33,24414.000,25261.426,25412.179,25413.153,25091.947,25574.424,25717.628,25895.107,26377.513,26186.135,26377.546,26303.338,26180.296,26383.467,26919.821,27599.491,27540.312,27370.988,27722.891,28500.567,28397.622,28529.163,28766.084,28769.614,28244.623,27810.455
E38000240,NHS North Central London ICB - 93C,Population,persons,34,23774.000,24718.557,25273.567,24940.937,24826.611,24503.656,25022.262,25201.075,25394.337,25865.711,25681.188,25855.993,25767.656,25644.074,25834.158,26347.236,27003.588,26949.628,26789.027,27131.324,27883.223,27783.377,27913.276,28144.120,28149.193,27644.158
E38000240,NHS North Central London ICB - 93C,Population,persons,35,23297.000,23756.196,24406.385,24480.030,24083.767,23976.214,23704.576,24251.413,24430.552,24616.582,25072.088,24895.628,25055.900,24959.493,24837.749,25015.591,25503.196,26131.313,26082.403,25930.721,26259.875,26980.165,26883.885,27010.185,27232.516,27238.420
E38000240,NHS North Central London ICB - 93C,Population,persons,36,22765.000,23285.620,23557.930,23760.598,23740.042,23381.730,23321.975,23100.061,23642.333,23805.941,23985.031,24427.695,24258.085,24406.357,24303.478,24183.030,24350.561,24816.930,25422.101,25377.375,25233.063,25551.981,26246.555,26153.373,26277.193,26492.631
E38000240,NHS North Central London ICB - 93C,Population,persons,37,22854.000,22744.571,23065.925,22992.505,23089.457,23073.916,22786.456,22772.774,22569.181,23091.127,23240.666,23412.680,23843.174,23680.197,23818.124,23710.037,23590.883,23749.461,24197.053,24781.473,24740.297,24602.627,24912.218,25584.116,25494.106,25615.330
E38000240,NHS North Central London ICB - 93C,Population,persons,38,21210.000,22688.294,22454.865,22461.441,22344.235,22426.915,22449.330,22225.937,22227.072,22027.487,22528.925,22665.564,22830.953,23249.701,23092.262,23221.519,23109.153,22991.193,23141.664,23571.348,24136.060,24098.738,23967.386,24268.094,24918.966,24831.356
E38000240,NHS North Central London ICB - 93C,Population,persons,39,21103.000,21198.882,22439.960,21962.812,21908.621,21819.328,21925.180,21987.211,21797.105,21798.354,21601.810,22087.210,22213.365,22373.047,22782.756,22630.108,22752.440,22636.245,22519.183,22663.674,23079.609,23628.927,23594.576,23468.269,23762.207,24396.824
